#IP user browser visitNum date time UnixTime(UTC) random Nweb_to_visit typeWeb website revisitation visiting_time
192.168.246.132 0 F 12 2017-09-13 18:49 1505321364 0.87 140 1 http://www.citroen.es 1 1.45
192.168.246.132 0 F 12 2017-09-13 18:49 1505321372 0.87 140 1 http://www.citroen.es 2 129.88
192.168.246.132 0 F 12 2017-09-13 18:51 1505321515 0.87 140 1 http://www.citroen.es 3 95.94
192.168.246.132 0 F 12 2017-09-13 18:53 1505321617 0.87 140 1 http://www.citroen.es 4 20.62
192.168.246.132 0 F 12 2017-09-13 18:54 1505321643 0.87 140 1 http://www.citroen.es 5 32.61
192.168.246.132 0 F 12 2017-09-13 18:54 1505321676 0.87 140 1 http://www.citroen.es 6 25.87
192.168.246.132 0 F 12 2017-09-13 18:55 1505321707 0.87 140 1 http://www.citroen.es 7 28.41
192.168.246.132 0 F 12 2017-09-13 18:55 1505321742 0.87 140 1 http://www.citroen.es 8 57.93
192.168.246.132 0 F 13 2017-09-13 18:56 1505321818 0.29 291 1 http://www.Mundodeportivo.com 0 11.05
192.168.246.132 0 F 13 2017-09-13 18:57 1505321840 0.29 291 1 http://www.Mundodeportivo.com 1 89.99
192.168.246.132 0 F 13 2017-09-13 18:59 1505321941 0.29 291 1 http://www.Mundodeportivo.com 2 239.8
192.168.246.132 0 F 13 2017-09-13 19:03 1505322191 0.29 291 1 http://www.Mundodeportivo.com 3 217.7
192.168.246.132 0 F 13 2017-09-13 19:07 1505322422 0.29 291 1 http://www.Mundodeportivo.com 4 39.97
192.168.246.132 0 F 14 2017-09-13 19:07 1505322464 0.94 255 1 http://www.Yandex.ru 0 40.45
192.168.246.132 0 F 14 2017-09-13 19:08 1505322506 0.94 255 1 http://www.Yandex.ru 1 62.03
192.168.246.132 0 F 14 2017-09-13 19:09 1505322570 0.94 255 1 http://www.Yandex.ru 2 3.63
192.168.246.132 0 F 14 2017-09-13 19:09 1505322575 0.94 255 1 http://www.Yandex.ru 3 45.61
192.168.246.132 0 F 14 2017-09-13 19:10 1505322622 0.94 255 1 http://www.Yandex.ru 4 60.63
192.168.246.132 0 F 14 2017-09-13 19:11 1505322684 0.94 255 1 http://www.Yandex.ru 5 190.99
192.168.246.132 0 F 15 2017-09-13 19:14 1505322883 0.04 145 1 http://www.kia.com 0 82.59
192.168.246.132 0 F 15 2017-09-13 19:16 1505322970 0.04 145 1 http://www.kia.com 1 17.37
192.168.246.132 0 F 15 2017-09-13 19:16 1505322991 0.04 145 1 http://www.kia.com 2 17.95
192.168.246.132 0 F 15 2017-09-13 19:16 1505323014 0.04 145 1 http://www.kia.com 3 127.1
192.168.246.132 0 F 15 2017-09-13 19:19 1505323144 0.04 145 1 http://www.kia.com 4 24.33
192.168.246.132 0 F 15 2017-09-13 19:19 1505323187 0.04 145 1 http://www.kia.com 5 37.81
192.168.246.132 0 F 16 2017-09-13 19:20 1505323229 0.83 145 1 http://www.kia.com 0 294.0
192.168.246.132 0 F 16 2017-09-13 19:25 1505323526 0.83 145 1 http://www.kia.com 1 306.35
192.168.246.132 0 F 16 2017-09-13 19:30 1505323835 0.83 145 1 http://www.kia.com 2 1.95
